사업장명,정제도로명주소
율하휴먼시아6단지 경로당,대구광역시 동구 안심로16길 45
옥정경로당,대구광역시 동구 내동로 67
새터경로당,대구광역시 동구 경대로 72
동대구삼환나우빌경로당,대구광역시 동구 동부로 81
신천경로당,대구광역시 동구 송라로7길 10
율하뜨란채경로당,대구광역시 동구 율하동로 67
진로이스트타운2차경로당,대구광역시 동구 동북로 460
동호경로당,대구광역시 동구 반야월로 220 
휴먼시아A5단지 경로당,대구광역시 동구 율하서로 59
숙천경로당,대구광역시 동구 숙천로2길 13-5
롯데캐슬레전드경로당,대구광역시 동구 안심로73길 22
내동경로당,대구광역시 동구 내동로6길 77-15
백안경로당,대구광역시 동구 팔공로207길 47
용수경로당,대구광역시 동구 용천로 282
도학2동경로당(도장),대구광역시 동구 도장길 69-6
지경경로당,대구광역시 동구 지경길 21
송정1동경로당,대구광역시 동구 팔공산로 375
지묘1동경로당,대구광역시 동구 파계로16길 29
팔공2차보성아파트경로당,대구광역시 동구 팔공로101길 55
왕산우방아파트경로당,대구광역시 동구 파계로6길 30
화성명산아파트경로당,대구광역시 동구 파계로22길
방촌제5경로당,대구광역시 동구 방촌로1길 138-6
보성아파트경로당,대구광역시 동구 큰고개로 23
동서2차아파트경로당,대구광역시 동구 아양로39길 20
청기와아파트경로당,대구광역시 동구 아양로49길 20
동신우방아파트경로당,대구광역시 동구 송라로11길 86
우방푸른타운경로당,대구광역시 동구 국채보상로159길 41
송라경로당,대구광역시 동구 동부로3길 38
신천3동제2경로당,대구광역시 동구 송라로 28-5
효목경로당,대구광역시 동구 화랑로41길 14
강산아파트경로당,대구광역시 동구 해동로5길 23
공항경로당,대구광역시 동구 공항로51길 12-4
제림햇빛촌아파트경로당,대구광역시 동구 공항로52길 28
동촌화성타운아파트경로당,대구광역시 동구 동촌로6길 3
문화아파트경로당,대구광역시 동구 동촌로14길 14
강변2차아파트경로당,대구광역시 동구 동촌로56길 36
방촌(경모당)경로당,대구광역시 동구 동촌로48길 24-23
보성강남아파트경로당,대구광역시 동구 화랑로88길 30
우방강촌2차경로당,대구광역시 동구 화랑로80길 9
방촌현대아파트경로당,대구광역시 동구 화랑로91길 7
월천경로당,대구광역시 동구 부동길 45
신덕경로당,대구광역시 동구 신덕로5길 50
모란1차아파트경로당,대구광역시 동구 율하동로20길 40 
용계타운아파트경로당,대구광역시 동구 반야월로6길 20
금강진우금탑경로당,대구광역시 동구 반야월북로 175
진인2동경로당,대구광역시 동구 인산로 67
신일해피트리경로당,대구광역시 동구 반야월로 370
불로제일경로당,대구광역시 동구 방천로1길 8
해서경로당,대구광역시 동구 팔공로34길 1-2
에덴공항경로당,대구광역시 동구 팔공로29길 10
불로우방경로당,대구광역시 동구 공항로 150
강변타운경로당,대구광역시 동구 방천로3길 30
제림빌리지경로당,대구광역시 동구 해동로6길 37
청구새들아파트경로당,대구광역시 동구 팔공로 322-5
새터,대구광역시 동구 신암북로7길 37
강남아파트경로당,대구광역시 동구 신성로 60
영조아름다운나날1단지경로당,대구광역시 동구 안심로 402
구암경로당,대구광역시 동구 구암길 48
동서1차아파트할머니경로당,대구광역시 동구 아양로39길 16
용호경로당,대구광역시 동구 화랑로93길 23-1
신암건영캐스빌경로당,대구광역시 동구 신암남로 50
방촌2차영남네오빌APT경로당,대구광역시 동구 동촌로42길 63
신암1동뜨란채APT경로당,대구광역시 동구 아양로7길 12
에덴공항2차APT경로당,대구광역시 동구 팔공로33길 10
무궁화아파트경로당,대구광역시 동구 동촌로 222
에스디아이프라임아파트경로당,대구광역시 동구 아양로24길 13
대경넥스빌노인정,대구광역시 동구 안심로 400 
