상가업소번호,상호명,상권업종분류명,도로명주소,lat,lng
22366074,한빛어린이집,유아교육,대구광역시 북구 팔거천동로4길 41-13,35.9276174,128.5550398
22367136,사랑어린이집,유아교육,대구광역시 북구 칠곡중앙대로126길 3,35.9511061,128.553947
22375699,온누리자이어린이집,유아교육,대구광역시 달서구 조암남로10길 21,35.8219099,128.5264121
22380056,강산어린이집,유아교육,대구광역시 달서구 도원로 45,35.8054156,128.537411
22381483,대구법원어린이집,유아교육,대구광역시 수성구 세진로 26,35.8616572,128.6385505
22381616,청구어린이집,유아교육,대구광역시 북구 매천로2길 19,35.8983874,128.5433249
22382284,녹원어린이집,유아교육,대구광역시 달성군 다사읍 다사로 82-4,35.8675273,128.4590226
22382828,아띠어린이집,유아교육,대구광역시 북구 학정동로 7,35.9448471,128.5655958
22388740,디딤어린이집,유아교육,대구광역시 북구 구암로60길 46-13,35.939373,128.5698893
22388793,신나라어린이집,유아교육,대구광역시 북구 태전로1길 9,35.9203956,128.545122
22391020,작은나라어린이집,유아교육,대구광역시 달서구 진천로3길 85-11,35.8097534,128.5215019
22396270,대자연어린이집,유아교육,대구광역시 달서구 앞산순환로55길 46,35.8283779,128.556391
22397650,영재어린이집,유아교육,대구광역시 달성군 현풍면 현풍중앙로14길 34,35.6950099,128.4470168
22397664,천사어린이집,유아교육,대구광역시 북구 동천로 155,35.9454523,128.5603186
22398724,꿈땅어린이집,유아교육,대구광역시 달성군 화원읍 비슬로512길 20-7,35.8023902,128.4964353
22399086,백합어린이집,유아교육,대구광역시 달성군 논공읍 사촌길 7,35.7285563,128.4371903
22399088,참사랑어린이집,유아교육,대구광역시 달성군 다사읍 서재로30길 7,35.87717190000001,128.4978373
22401113,동화I-WISH어린이집,유아교육,대구광역시 달성군 다사읍 대실역북로 55,35.8611308,128.4669202
22405131,한솔시찌다어린이집,유아교육,대구광역시 북구 침산남로39길 12,35.88797479999999,128.5973605
22405573,은초롱어린이집,유아교육,대구광역시 수성구 수성로74길 33,35.8567734,128.6158575
